id,customer_id,bank,type,valid_month,valid_year,expiry_month,expiry_year,card_no,card_limit
1,1,"Citibank","MASTER",7,2004,1,2020,"5214-5061-1981-9339",358235
2,2,"Bank of America","VISA",1,2003,1,2020,"5873-4412-7319-3913",368375
3,3,"Bank of America","VISA",4,2002,10,2022,"4823-7143-3898-1608",877121
4,4,"Citibank","VISA",6,2003,6,2018,"5873-2763-1971-8793",583275
5,5,"Citibank","AMEX",7,2003,9,2019,"4823-9988-8975-7436",401281
6,6,"PNC Financial Services","VISA",5,2002,10,2019,"5873-5998-3032-5794",406237
7,7,"Bank of America","VISA",10,2003,5,2021,"5873-2725-8611-7131",715480
8,8,"US Bancorp","VISA",10,2002,9,2019,"4725-2575-7470-5148",89406
9,9,"Citibank","VISA",2,2001,8,2018,"3768-4355-5171-6685",510585
10,10,"JPMorgan Chase","VISA",3,2003,3,2022,"4725-8668-8524-7504",208220
11,11,"Bank of America","VISA",11,2000,9,2020,"5214-3285-1564-5744",467493
12,12,"Citibank","VISA",9,2004,6,2021,"4725-8518-9541-7600",21617
13,13,"Citibank","AMEX",2,2002,7,2021,"5214-6306-4181-6916",754720
14,14,"Citibank","VISA",1,2002,3,2021,"5873-9497-9572-8557",786947
15,15,"Bank of America","VISA",8,2002,7,2018,"5873-3933-2735-8984",657476
16,16,"Goldman Sachs","VISA",3,2002,3,2020,"3768-2034-6704-1568",152104
17,17,"Bank of America","AMEX",1,2002,8,2018,"5214-8054-2054-5727",263650
18,18,"Citibank","VISA",2,2001,9,2021,"4725-3398-7087-4288",96867
19,19,"Citibank","MASTER",1,2003,4,2022,"2678-6088-7561-2955",435200
20,20,"Wells Fargo","VISA",7,2002,9,2021,"5873-7317-8980-5994",204025
21,21,"Bank of America","VISA",3,2003,10,2022,"4725-5913-2662-4328",344189
22,22,"Bank of America","VISA",1,2003,9,2019,"4725-9818-3252-6440",297882
23,23,"PNC Financial Services","VISA",9,2002,6,2022,"4725-2139-5208-1906",185044
24,24,"PNC Financial Services","VISA",3,2002,6,2018,"4329-5144-3511-7865",180268
25,25,"JPMorgan Chase","AMEX",5,2002,3,2019,"5214-2600-7280-1287",238408
26,26,"Citibank","VISA",7,2000,4,2018,"4823-1050-3477-1045",581953
27,27,"Citibank","VISA",4,2000,11,2022,"4725-8963-2468-9427",38435
28,28,"US Bancorp","VISA",5,2002,10,2020,"5119-2604-8702-4360",548638
29,29,"Goldman Sachs","VISA",11,2002,9,2019,"4725-8070-1789-4738",621623
30,30,"Bank of America","VISA",2,2004,4,2022,"4725-9197-9119-3073",351608
31,31,"JPMorgan Chase","VISA",8,2004,1,2020,"5214-2142-1494-2111",97586
32,32,"Morgan Stanley","AMEX",1,2003,10,2020,"4725-9784-4908-3934",999557
33,33,"Citibank","VISA",6,2002,10,2022,"5214-3928-6175-6108",131446
34,34,"Bank of America","VISA",4,2002,11,2019,"5873-1980-1429-2476",416389
35,35,"Citibank","VISA",6,2001,2,2018,"5119-7089-3048-7002",318306
36,36,"Bank of America","VISA",4,2002,7,2019,"2678-7195-4587-2464",534479
37,37,"Citibank","MASTER",4,2002,4,2020,"4725-2126-2862-5553",191824
38,38,"JPMorgan Chase","VISA",9,2004,2,2018,"4329-1518-9329-9083",685689
39,39,"Citibank","VISA",9,2003,10,2018,"4725-5262-4301-2897",85161
40,40,"US Bancorp","VISA",6,2003,6,2021,"4725-1215-4379-7319",300844
41,41,"Wells Fargo","VISA",4,2002,5,2020,"4823-7885-5220-3474",504802
42,42,"JPMorgan Chase","AMEX",9,2004,8,2021,"5873-1765-1756-5933",688363
43,43,"JPMorgan Chase","VISA",3,2000,9,2020,"4329-1204-6343-8221",316121
44,44,"Bank of America","MASTER",9,2002,10,2021,"4823-6688-4250-2527",402308
45,45,"Citibank","VISA",4,2002,11,2019,"4823-6447-3672-6114",915679
