id,name,mobile_no,gender,birth_date,email,address,state,country,pincode,user_type,vehicle_type,first_visit
1,Anthony Housel,902900766,FEMALE,08/20/2012,1_Matthew@yahoo.com,15165 Umber Fox Twist,sc,us,202083,1,CAR,05/25/2013
2,Holly Prince,940071375,FEMALE,12/4/08,2_Nathaniel@gmail.com,96856 Cotton Sky Acres,fl,ru,744563,1,BIKE,05/19/2013
3,Lora Stec,915752394,FEMALE,06/24/2013,3_Nathaniel@gmail.com,1137 Misty Autumn Avenue,ga,us,929752,1,SCOOTER,01/29/2013
4,Donna Lee,924763050,FEMALE,2/4/09,4_Jonathan@hotmail.com,56382 Sandy Spring Crest,ca,pi,460599,1,CAR,07/19/2013
5,Darla Edmondson,925550995,MALE,02/21/2013,5_Mitchell@hotmail.com,36028 Heather View Terrace,tx,in,604550,1,BIKE,8/4/09
6,Benjamin Waltz,961575330,MALE,06/30/2013,6_Christine@yahoo.com,1147 Ivory Robin Dale,tx,fr,295611,1,CAR,07/28/2013
7,Bruce Delgado,956667343,MALE,12/16/2012,7_Timothy@gmail.com,1940 Rose Dove Landing,va,in,170215,1,CAR,06/26/2013
8,Oscar Hicks,901432903,FEMALE,06/18/2013,8_Shirley@gmail.com,24229 Heather Cider Alcove,tx,fr,477786,1,BIKE,11/25/2012
9,Janet Wolf,990762558,MALE,11/13/2012,9_Elizabeth@hotmail.com,14022 Merry Pumpkin Heights,tn,mx,576823,1,CAR,05/15/2013
10,Holly Mckean,900103003,MALE,06/24/2013,10_Walter@gmail.com,22 Cool Robin Way,tx,in,891270,1,BIKE,4/4/09
11,Eileen Grove,912870864,MALE,05/31/2013,11_Floyd@gmail.com,21968 Square Apple Ridge,mi,in,225196,1,CAR,8/4/09
12,Richard Ramirez,921754386,MALE,07/20/2013,12_Leona@gmail.com,48545 Auburn Oak Cove,tx,pi,343116,1,CAR,01/20/2013
13,Kimberly Thompson,995171680,MALE,03/14/2013,13_Richard@gmail.com,21468 Quiet Quail Gate,tx,uk,254733,1,CAR,06/23/2012
14,Gary Davis,888616005,FEMALE,07/16/2013,14_Santiago@gmail.com,5808 Pleasant Castle Farms,md,us,752338,1,BIKE,07/29/2013
15,Karen Santana,913900627,MALE,06/26/2013,15_John@yahoo.com,2988 White View Villa,in,in,461706,1,CAR,2/3/09
